year;month;ff4_hf;sp500_hf;us_rgdp;us_gdpdef;gs1;logsp500;ebpnew
1994;2;0.0;0.0;420.131378321934;498.838968514894;3.87;615.60887589429;1.79
1994;3;0.0;0.0;421.146367382597;499.111262760739;4.32;613.947498560668;1.65
1994;4;0.12;0.0;421.735981186863;499.179220629478;4.82;610.307300366956;1.55
1994;5;0.05;0.0;422.195030782717;499.382817577987;5.31;611.124558542704;1.44
1994;6;0.0;0.0;422.867875751431;499.653636971675;5.27;611.99237227616;1.55
1994;7;0.0;0.0;423.000826319381;499.991133073328;5.48;611.235386438344;1.51
1994;8;0.0;0.0;423.669012070674;500.394630594546;5.56;614.040165988235;1.5
1994;9;-0.03;0.0;423.983066996829;500.595770454514;5.76;614.624360089554;1.52
1994;10;0.0;0.0;424.784360120615;500.662727269872;6.11;613.947498560668;1.46
1994;11;0.08;0.0;425.465622416283;500.930107108312;6.54;613.341973473535;1.36
1994;12;-0.05;0.0;426.482265008506;501.130173863942;7.14;612.071491420526;1.29
1995;1;0.0;0.0;426.6523186283;501.396308418893;7.05;614.257489552236;1.3
1995;2;0.045;0.0;426.539449897799;501.66173657738;6.7;617.777812517147;1.38
1995;3;0.01;0.0;426.705480013628;501.860346374543;6.43;620.08133874;1.5
1995;4;0.0;0.0;426.532707434606;502.256386496153;6.27;623.030426652852;1.54
1995;5;0.0;0.0;427.022598133118;502.453819926525;6;626.112902314758;1.57
1995;6;0.0;0.0;427.353483276338;502.650864325255;5.64;629.036471082144;1.73
1995;7;-0.145;0.0;426.934494002328;502.782011885036;5.59;632.322929228619;1.76
1995;8;0.01;0.0;428.251426301573;502.978411293502;5.75;632.634623376068;1.7
1995;9;0.04;0.0;428.653943920321;503.109130266364;5.62;636.090516203878;1.74
1995;10;0.0;0.0;428.47803317923;503.370056702725;5.59;636.80499556655;1.71
1995;11;0.02;0.0;428.741233768694;503.500265054455;5.43;638.945176536019;1.75
1995;12;-0.04;0.0;429.087716211002;503.630304084483;5.31;642.092283626943;1.78
1996;1;-0.01;0.049879655;428.513708331865;504.148775757902;5.09;642.067873338699;1.81
1996;2;0.0;0.0;429.966624324512;504.342511691925;4.94;647.626442004958;1.82
1996;3;0.0;0.127706061;429.844120061608;504.664573161929;5.34;647.245448030239;1.77
1996;4;0.0;0.0;430.83424188766;505.049682752139;5.54;647.260901114706;1.68
1996;5;0.02;-0.200103758;431.578800249952;505.241682811121;5.64;649.410173696841;1.56
1996;6;0.0;0.0;432.338138074071;505.433314936198;5.81;650.5036396542;1.49
1996;7;-0.025;0.149046845;432.353512677642;505.624580534831;5.85;646.780741584958;1.49
1996;8;0.01;-0.136519795;432.864036206099;505.751887999511;5.67;649.629221907034;1.54
1996;9;-0.12;0.299063516;433.48799941792;506.069449396899;5.83;651.453489729041;1.51
1996;10;0.0;0.0;433.517608822922;506.386005533355;5.55;655.316387724678;1.54
1996;11;-0.01;0.243922493;434.432087340129;506.701562753236;5.42;660.078164861597;1.58
1996;12;0.01;-0.075199382;435.070752149375;506.953293534374;5.47;661.103246187821;1.59
1997;1;0.0;0.0;435.229139186762;507.141676635611;5.61;664.146933477109;1.52
1997;2;0.0;-0.298160501;436.415920866721;507.329705522097;5.53;668.259719986871;1.52
1997;3;0.05;-0.454799932;437.048528882732;507.392303333217;5.8;667.476339161311;1.49
1997;4;0.0;0.0;437.165680334269;507.454861983991;5.99;663.847616193223;1.45
1997;5;-0.08;0.52328309;437.718116432026;507.454861983991;5.87;672.514167954788;1.49
1997;6;0.0;0.0;438.176660086802;507.642303463426;5.69;677.569708637967;1.53
1997;7;-0.02;0.173370319;439.027254352773;507.767069543241;5.54;683.010720189085;1.53
1997;8;0.0;-0.377991985;440.022748962132;508.016135674487;5.56;683.221243173349;1.52
1997;9;-0.02;-0.207488447;440.934506507789;508.264583007253;5.52;684.270462672781;1.5
1997;10;0.0;0.0;441.817291505989;508.450514266271;5.46;685.76822923477;1.54
1997;11;-0.02;-0.499967393;442.601720395492;508.574276658306;5.46;684.473027856069;1.54
1997;12;0.0;-0.101011142;443.026664753783;508.636100462439;5.53;686.939899210478;1.52
1998;1;0.0;0.0;443.464043181378;508.759633523238;5.24;687.042717371614;1.65
1998;2;0.01;-0.262883786;443.625792143205;508.759633523238;5.31;693.12178671098;1.68
1998;3;0.001;-0.037528712;443.660951244417;508.759633523238;5.39;698.177681882927;1.67
1998;4;0.0;0.0;444.003489562479;508.883014168131;5.38;701.409531475346;1.69
1998;5;-0.01;-0.133046863;444.66046081582;509.129319711371;5.44;701.069085685346;1.65
